Path;Target;FD0;FD1;FD2;FD3;FD4;FD5;FD6;FD7;FD8;FD9;FD10;FD11;FD12;FD13;FD14;FD15;FD16;FD17;FD18;FD19;FD20;FD21;FD22;FD23;FD24;FD25;FD26;FD27;FD28;FD29;FD30;FD31
../DATA\apple\Image_1.jpg;1;0.42263800108720434;0.42263800108720434;0.42263800108720434;0.42263800108720434;0.1565202549006251;0.13269801415104637;0.2545157098976722;0.42263800108720434;0.3645650235393476;0.3645650235393476;0.3645650235393476;0.3645650235393476;0.3645650235393476;0.2639060532652019;0.3645650235393476;0.3645650235393476;0.34389086539668434;0.39501421969810785;0.23238190354702018;0.2441265235268692;0.39501421969810785;0.37946676885645353;0.39501421969810785;0.39501421969810785;0.4542885393744406;0.4542885393744406;0.4542885393744406;0.4542885393744406;0.2718560825921424;0.22847394826660838;0.1109520333115676;0.1899243614741257
../DATA\apple\Image_10.jpg;1;0.4155085035048902;0.4155085035048902;0.4155085035048902;0.4155085035048902;0.4155085035048902;0.2925299278005563;0.1324323452628734;0.18344299499624178;0.11503465603667506;0.24061178025099905;0.31702482476735994;0.3685981450440795;0.41608402595913313;0.41608402595913313;0.41608402595913313;0.41608402595913313;0.11732437405005407;0.06708460080506692;0.19233022901563948;0.26144991191307043;0.46807789779274045;0.46807789779274045;0.46807789779274045;0.46807789779274045;0.40796742408012887;0.40796742408012887;0.40796742408012887;0.40796742408012887;0.35529019966253916;0.1332258511496251;0.33243128973576225;0.28241725753826047
../DATA\apple\Image_16.jpg;1;0.4102585008764193;0.4102585008764193;0.4102585008764193;0.4102585008764193;0.4102585008764193;0.3670084081520209;0.09721965560677653;0.1195532466384933;0.08055382732833237;0.1594791457182562;0.267570424848895;0.4234344223800593;0.4234344223800593;0.4234344223800593;0.4234344223800593;0.4234344223800593;0.06585065403970866;0.025877608096399905;0.4362129108903991;0.20877145913335715;0.4362129108903991;0.4362129108903991;0.4362129108903991;0.4362129108903991;0.472274970129077;0.472274970129077;0.472274970129077;0.472274970129077;0.20952889256605572;0.01997821023361153;0.04531796857604248;0.24793185721232594
../DATA\apple\Image_17.jpg;1;0.35355339053803103;0.35355339053803103;0.35355339053803103;0.35355339053803103;0.35355339053803103;0.35355339053803103;0.35355339053803103;0.35355339053803103;0.3562155225004769;0.33432545579234907;0.3562155225004769;0.3562155225004769;0.3562155225004769;0.3562155225004769;0.3562155225004769;0.3562155225004769;0.3644151632292133;0.3644151632292133;0.3644151632292133;0.3644151632292133;0.3644151632292133;0.2653509399425308;0.3644151632292133;0.3644151632292133;0.3547298125873372;0.3547298125873372;0.3547298125873372;0.3452061994195427;0.3547298125873372;0.3547298125873372;0.3547298125873372;0.3547298125873372
../DATA\apple\Image_18.jpg;1;0.4067289236279805;0.4067289236279805;0.20509884276385013;0.3441388898965982;0.4067289236279805;0.4067289236279805;0.3549263644338566;0.2276323687693782;0.37396288022262475;0.21463032118241224;0.37396288022262475;0.3388870168258248;0.37396288022262475;0.37396288022262475;0.37396288022262475;0.37396288022262475;0.5461043408436392;0.06935456664054306;0.03034603328247188;0.02906732131315088;0.11706027674333763;0.057096765450611;0.5823362654985503;0.5823362654985503;0.8990005378378995;0.15665874777911468;0.11073612780280123;0.10573316378837583;0.02720668639632349;0.007455004273422719;0.06886006897634402;0.37185559803863766
../DATA\apple\Image_19.jpg;1;0.17659382994719253;0.10271349912256904;0.2524907999218322;0.610903150180941;0.610903150180941;0.3416551685707862;0.12191659323805125;0.12851351533791047;0.13337508565533804;0.10099242724004857;0.11831391871417547;0.5993308818889808;0.5993308818889808;0.4829669734685441;0.01285541804953284;0.07871506019089472;0.22924425680620775;0.2554823181969516;0.18369651317159374;0.4159313943672737;0.4159313943672737;0.4159313943672737;0.4159313943672737;0.39551959135416265;0.13670537360588833;0.48192966028193607;0.48192966028193607;0.48192966028193607;0.48192966028193607;0.11331102100547522;0.11503031478187958;0.16191198105348154
../DATA\apple\Image_2.jpg;1;0.5612499975444246;0.5612499975444246;0.43614016886905005;0.1716568731981413;0.060122527884006245;0.10770560246132246;0.17953711750011078;0.3207238048337047;0.5510836384264098;0.17194793657014687;0.052505421550497394;0.19731087675151116;0.2412964847648577;0.38301281207198007;0.3412277012782625;0.5510836384264098;0.5665402306223042;0.015782401418696846;0.0156920068593137;0.09381667026357655;0.003180511565579803;0.16670181135753312;0.5665402306223042;0.5665402306223042;0.6766465839262101;0.6643174394033792;0.16628172839848318;0.07317029463412564;0.05545464450244375;0.00983354479064338;0.017027353580317033;0.2537053149519708
../DATA\apple\Image_20.jpg;1;0.3558051907201199;0.3558051907201199;0.3558051907201199;0.3558051907201199;0.3558051907201199;0.3558051907201199;0.3558051907201199;0.3373702172389259;0.33627958125365404;0.36053030527994295;0.3271443668404186;0.36053030527994295;0.36053030527994295;0.36053030527994295;0.36053030527994295;0.36053030527994295;0.42548006994463816;0.010359300244991645;0.020919822775046004;0.2667848450102388;0.43221742271663277;0.43221742271663277;0.43221742271663277;0.43221742271663277;0.44083507089350915;0.44083507089350915;0.44083507089350915;0.44083507089350915;0.29299225595775885;0.02498329395211317;0.04131081550769128;0.36671862522865534
../DATA\apple\Image_21.jpg;1;0.43916556342507906;0.44728909139558576;0.44728909139558576;0.44728909139558576;0.23010599751207136;0.14970290350841695;0.11693674778409528;0.34336144391107903;0.39452310646328714;0.13031504048350398;0.3291421736616575;0.3286128437837485;0.39452310646328714;0.39452310646328714;0.39452310646328714;0.3796091307101686;0.3792856936338234;0.3792856936338234;0.13160129090069178;0.34573873879258;0.3792856936338234;0.3792856936338234;0.3792856936338234;0.3792856936338234;0.40081561508780017;0.40081561508780017;0.40081561508780017;0.40081561508780017;0.2721122024328476;0.16269101614479534;0.40081561508780017;0.310194770523663
../DATA\apple\Image_23.jpg;1;0.6139500753367894;0.34796631360143576;0.34837582293873587;0.0483023725415118;0.021197275476520307;0.025784593391607574;0.015396450851192135;0.6139500753367894;0.6007383478252297;0.03699024127006455;0.016743016922978284;0.18767661994884582;0.09586232868997634;0.08052819455948565;0.47505934111541337;0.6007383478252297;0.4409000654363617;0.07974160499861117;0.06077814514560165;0.06307272373408064;0.3812235179080196;0.2635466642538187;0.2742414922515141;0.7082228781620334;0.5806775717044108;0.5300386206241277;0.11376345287154577;0.16547687899679503;0.023753386993437046;0.0102956820888332;0.060755494300788464;0.5806775717044108
